10,000 Days;10,000 Days ago, Comet 23 struck Earth with the magnitude of all the nuclear weapons in the world sending the planet into a deep freeze. Now, 27 years in the future, those who survived are locked in an epic battle of life or death.;91;2014-11-23;/fTP8fTm3QD8ZPINy3uCvYBs7SnD.jpg
11 x 14;65 shots making up a cryptically alluded-to narrative: a lesbian couple's Midwest travels, a hitchhiking young man's journeys, the story of a man who may be having an affair.;81;1977-04-16;/5iXFdhfctSUkknXfDOlSuZHrS42.jpg
11'09''01 - September 11;11 directors show their view on the terrorist attacks on the world trade center in New York.;135;2002-09-04;/u3J9FHCh7s9KmsWkHP5JH8zohes.jpg
12 Dates of Christmas;12 Dates of Christmas is a romantic comedy that follows Kate (Amy Smart), a young woman who re-lives the same first date on Christmas Eve over and over again. In an attempt to win back her ex-boyfriend on Christmas Eve, Kate ends up ruining her blind date with Miles (Mark-Paul Gosselaar), a handsome guy she's been set up with. In a strange twist of fate, Kate is given the chance to re-live Christmas Eve twelve times!  Kate decides to embrace what Christmas Eve has given her -- a loving family, great friends and Miles, who turns out to be a great guy! However, just as she seems to think she has gotten it right, the clock strikes midnight and Kate must live Christmas Eve once again. Under these weird new circumstances, Kate learns to take risks and enjoy what she's been given. Thanks to the gift of Christmas Eve, Kate finds happiness by finally trusting fate.;89;2011-12-11;/839Z87GiJvdrKIsKf7fFLa5I5dD.jpg
13 Sins;A bright but meek salesman, drowning in debt as he's about to get married, receives a mysterious phone call informing him that he's on a hidden camera game show where he must execute 13 tasks to receive a multi-million dollar cash prize.;93;2014-04-18;/uYPy89cVgvE1ic0bN39YJrumxwo.jpg
16 Years of Alcohol;16 Years of Alcohol is a 2003 drama film written and directed by Richard Jobson, based on his 1987 novel. The film is Jobson's first directorial effort, following a career as a television presenter on BSkyB and VH-1, and as the vocalist for the 1970s punk rock band The Skids.;102;2003-08-14;/g29S6Y9TinZf3RlFD7rao4TlFDU.jpg
18 Again!;18 Again! is a 1988 comedy film starring George Burns and Charlie Schlatter. The plot involves a grandson switching souls with his grandfather by means of an accident. This was one of a series of unrelated films, including Like Father, Like Son and Vice Versa, produced in the late 1980s involving a similar plotline.;93;1988-04-08;/v1q2fNb87xpmo1O71Jt7VfC3Jqg.jpg
1939: Hollywood's Greatest Year;1939: Hollywood's Greatest Year is a once-over-lightly evocation of a slate of classic films unmatched before or since. In a year permitting 10 Best Picture nominees, the final cut included Gone with the Wind, The Wizard of Oz, Dark Victory, Goodbye, Mr. Chips, Mr. Smith Goes to Washington, Ninotchka, Of Mice and Men, Stagecoach, Wuthering Heights, Love Affair. Shut out: The Roaring '20s, The Hunchback of Notre Dame, Intermezzo, Destry Rides Again, Idiot's Delight, Young Mr. Lincoln, Gunga Din. This hour-long film finds room to acknowledge a few of these non-starters, but its brevity means a lot gets left out. This includes the absence of anything that doesn't celebrate the studio system, including the practices of the shrewd tyrants who ran them, seen in brief archival footage.;69;2009-07-02;/mqPhtjmYmvWHBGxdkhuT2hIKIh6.jpg
2 Alone in Paris;A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.;94;2008-06-25;/9oP2uEC3TsP8MyR7Ys5QydmqM8G.jpg
200 Cigarettes;A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.;101;1999-02-26;/dQoRvGDAFYrmzc9gwNJ7gXlL5Xw.jpg
